userId,gender,nat,city,state,postcode,eloRating,ranking
0,male,IE,lusk,wicklow,93074,,
1,female,ES,almería,asturias,68392,640,59
2,male,GB,westminster,greater manchester,RD46 0TX,66,98
3,male,CH,bercher,zürich,3711,-400,134
4,male,TR,kocaeli,gümüşhane,95129,-200,120
5,female,TR,nevşehir,ordu,88489,-400,134
6,male,NZ,blenheim,bay of plenty,45773,200,87
7,female,AU,geraldton,tasmania,1710,640,59
8,male,CA,cochrane,newfoundland and labrador,70696,800,48
9,male,FR,besançon,gironde,48523,400,71
10,female,NL,wormerland,zeeland,79163,-800,158
11,female,ES,santa cruz de tenerife,la rioja,30512,400,71
12,female,ES,zaragoza,ceuta,46378,-400,134
13,female,IR,دزفول,کردستان,31841,-400,134
14,female,AU,launceston,western australia,2585,80,97
15,female,ES,hospitalet de llobregat,aragón,32623,200,87
16,male,ES,fuenlabrada,cantabria,38125,-400,134
17,male,FR,fort-de-france,bas-rhin,70485,-480,139
18,female,ES,lorca,comunidad de madrid,70811,0,102
19,female,FR,saint-denis,seine-et-marne,88374,266,81
20,female,TR,adana,niğde,50762,-2534,205
21,male,CH,bretigny-sur-morrens,glarus,3717,100,95
22,female,GB,liverpool,hampshire,W79 8XZ,0,102
23,male,FI,kurikka,south karelia,91743,-200,120
24,female,TR,trabzon,isparta,63542,-1200,175
25,female,US,fayetteville,california,27450,800,48
26,male,ES,mérida,aragón,72397,-600,147
27,male,IR,قرچک,خراسان جنوبی,81537,0,102
28,male,FR,amiens,indre,79620,-1200,175
29,female,CH,savigny,vaud,2846,-250,124
30,female,NL,heemskerk,utrecht,10298,66,98
31,male,IE,oranmore,meath,51910,-267,125
32,male,NZ,new plymouth,northland,57684,500,66
33,male,IE,ballinasloe,monaghan,49327,-80,109
34,male,FI,paimio,kymenlaakso,36529,-1000,166
35,male,FR,champigny-sur-marne,gers,29971,250,83
36,female,FR,montpellier,haute-loire,64494,133,92
37,female,IE,longford,longford,79001,1200,30
38,male,FI,laitila,southern savonia,67778,-400,134
39,female,ES,albacete,ceuta,52657,400,71
40,male,DE,marburg-biedenkopf,rheinland-pfalz,50994,-3334,210
41,male,TR,bayburt,denizli,20324,480,67
42,female,AU,townsville,tasmania,6767,-67,107
43,male,FI,ingå,northern savonia,30727,800,48
44,male,DK,sommersted,sjælland,77107,457,69
45,male,ES,san sebastián,extremadura,38004,-720,155
46,female,TR,adana,antalya,58614,266,81
47,male,IR,قم,گلستان,74308,-267,125
48,female,CA,charlottetown,northwest territories,68885,-600,147
49,female,NL,renkum,noord-holland,75908,0,102
50,female,FI,vehmaa,ostrobothnia,78948,100,95
51,female,IR,کرمان,خراسان رضوی,11513,-134,114
52,female,ES,castellón de la plana,país vasco,32146,300,78
53,male,ES,elche,cataluña,36300,-800,158
54,male,TR,eskişehir,kocaeli,40827,-300,127
55,male,GB,cambridge,kent,L24 5AY,200,87
56,female,AU,brisbane,victoria,8965,200,87
57,male,NL,opsterland,zeeland,32399,-1600,191
58,female,FI,pyhäjärvi,lapland,78001,-267,125
59,male,NZ,porirua,otago,61592,-400,134
60,female,CH,villars-sous-yens,solothurn,2892,0,102
61,male,IE,celbridge,cavan,17186,-100,111
62,female,TR,diyarbakır,amasya,97431,0,102
63,female,US,north las vegas,oregon,90137,400,71
64,female,TR,İzmir,malatya,79704,-100,111
65,female,US,cary,new hampshire,99323,-267,125
66,female,FI,alavus,central finland,62907,400,71
67,male,IE,arklow,westmeath,18913,-343,131
68,female,AU,port macquarie,australian capital territory,2678,66,98
69,female,GB,st davids,staffordshire,BB00 7GX,-1400,183
70,female,DE,kaufbeuren,saarland,18557,200,87
71,male,DE,friesland,mecklenburg-vorpommern,61046,600,61
72,female,FI,kustavi,kainuu,17644,160,90
73,female,FI,hattula,pirkanmaa,19467,533,65
74,male,ES,zaragoza,comunidad valenciana,11484,-700,154
75,female,IE,fermoy,dublin city,98757,-320,129
76,female,AU,albury,new south wales,3458,600,61
77,male,GB,leicester,herefordshire,HR1 5HZ,-400,134
78,female,CH,belmont-sur-lausanne,ticino,9165,-334,130
79,female,FI,vantaa,kymenlaakso,15697,200,87
80,male,CH,st-sulpice vd,luzern,2778,320,76
81,male,ES,madrid,país vasco,18771,,
82,male,AU,bundaberg,victoria,3677,1200,30
83,female,CA,winfield,ontario,35936,0,102
84,male,TR,edirne,çorum,84052,-160,117
85,male,NL,midden-delfland,flevoland,18265,-134,114
86,male,DK,skaerbaek,hovedstaden,53084,-134,114
87,male,NZ,rotorua,wellington,51202,-240,123
88,female,ES,san sebastián de los reyes,canarias,90114,1600,20
89,male,DE,waldeck-frankenberg,mecklenburg-vorpommern,47148,-200,120
90,male,FI,vesanto,åland,48827,-600,147
91,male,IE,kells,leitrim,77734,400,71
92,male,IE,new ross,south dublin,11928,-160,117
93,male,TR,manisa,gümüşhane,13867,-58,106
94,male,CH,montricher,graubünden,1895,300,78
95,male,BR,aparecida de goiânia,paraíba,83209,-1800,195
96,female,FR,strasbourg,morbihan,48621,160,90
97,male,DK,rønnede,nordjylland,18683,-500,141
98,male,AU,geelong,western australia,1165,-320,129
99,male,TR,ankara,şırnak,54514,,
100,female,CA,campbellton,saskatchewan,50738,-80,109
101,female,FR,perpignan,seine-maritime,87654,480,67
102,male,CH,monnaz,neuchâtel,4408,800,48
103,male,BR,cubatão,rio grande do sul,10390,300,78
104,male,FI,toholampi,southern ostrobothnia,42745,266,81
105,male,IE,enniscorthy,longford,13914,333,75
106,female,AU,melbourne,northern territory,9628,1600,20
107,female,FI,sysmä,kymenlaakso,67506,-1000,166
108,female,FR,lyon,cantal,53624,800,48
109,female,US,columbus,new mexico,60410,300,78
110,female,AU,darwin,new south wales,7426,-500,141
111,female,CA,south river,nunavut,21635,-134,114
112,male,IE,roscrea,kildare,42410,-134,114
113,male,IR,قائم‌شهر,کردستان,59759,654,57
114,male,FI,rusko,lapland,34883,-200,120
115,female,CA,lumsden,alberta,13621,-300,127
116,male,TR,ankara,karabük,99809,-200,120
117,female,NZ,rotorua,gisborne,28069,0,102
118,female,FI,luvia,lapland,61992,800,48
119,female,CA,hudson,new brunswick,53945,-300,127
120,male,ES,córdoba,región de murcia,31964,-356,133
121,male,CH,sugnens,glarus,7584,-200,120
122,male,FR,colombes,lot,74064,500,66
123,female,NL,oude ijsselstreek,overijssel,86716,-267,125
124,female,IR,ساوه,چهارمحال و بختیاری,39060,266,81
125,male,TR,afyonkarahisar,hatay,98877,-800,158
126,female,GB,salford,county antrim,UN6G 8XT,2080,12
127,female,US,lansing,south dakota,61133,100,95
128,female,CA,field,newfoundland and labrador,72086,300,78
129,male,DE,zwickau,hamburg,20859,133,92
130,female,CA,chelsea,northwest territories,77874,700,54
131,male,CH,lonay,uri,1268,-267,125
132,female,TR,sakarya,uşak,19116,-115,112
133,male,IR,کرمان,گیلان,26342,266,81
134,male,GB,wakefield,lancashire,T5G 6BT,-800,158
135,male,NZ,gisborne,canterbury,51094,-134,114
136,female,TR,şırnak,nevşehir,36805,400,71
137,female,CA,wellington,northwest territories,89883,100,95
138,male,DE,rendsburg-eckernförde,hamburg,15382,160,90
139,female,AU,bundaberg,victoria,8528,133,92
140,male,GB,winchester,gwynedd county,UY57 5GQ,100,95
141,male,CA,fountainbleu,newfoundland and labrador,26230,-400,134
142,male,AU,bathurst,northern territory,3431,-200,120
143,female,IE,sligo,clare,94207,0,102
144,male,NL,voorschoten,groningen,11891,400,71
145,male,BR,itu,sergipe,69728,-267,125
146,female,NL,reusel-de mierden,flevoland,75385,800,48
147,male,NL,valkenswaard,utrecht,36072,-400,134
148,female,GB,truro,rutland,S9I 8XZ,533,65
149,male,FR,nancy,nord,40695,-200,120
150,male,AU,kalgoorlie,queensland,6487,-200,120
151,male,CH,ferlens vd,aargau,4541,-400,134
152,female,DE,dithmarschen,thüringen,83218,0,102
153,male,GB,bangor,west sussex,B9 8HY,800,48
154,male,GB,plymouth,northamptonshire,I3Y 4DB,266,81
155,female,BR,almirante tamandaré,minas gerais,18232,800,48
156,male,IR,ساوه,خراسان رضوی,46208,160,90
157,female,AU,cairns,northern territory,6470,-667,151
158,male,TR,trabzon,mersin,34208,200,87
159,female,CH,clarmont,basel-landschaft,7128,-1467,186
160,female,DE,regensburg,schleswig-holstein,69708,1000,38
161,female,ES,granada,castilla la mancha,43200,,
162,male,IE,celbridge,south dublin,24266,400,71
163,female,TR,ordu,amasya,54094,-400,134
164,female,CH,assens,zug,4178,400,71
165,female,FI,ypäjä,tavastia proper,30386,133,92
166,male,IE,tullow,cavan,77195,-1200,175
167,female,ES,almería,cantabria,73601,1066,34
168,female,FI,honkajoki,north karelia,72711,-800,158
169,female,DE,görlitz,bremen,27781,-400,134
170,male,ES,talavera de la reina,castilla y león,80114,-534,143
171,female,US,atlanta,vermont,53142,1400,23
172,female,NL,nieuwkoop,noord-holland,64535,1440,22
173,male,FI,haapavesi,kymenlaakso,43251,0,102
174,male,FR,nantes,vaucluse,91074,733,52
175,female,AU,traralgon,tasmania,1653,-1200,175
176,female,IE,monaghan,cavan,11639,900,44
177,female,GB,portsmouth,cheshire,ZK12 4RG,160,90
178,male,NL,lingewaard,gelderland,93034,-134,114
179,female,NZ,hamilton,auckland,76300,133,92
180,female,NZ,timaru,hawke's bay,88765,-1000,166
181,male,FR,versailles,cantal,40492,100,95
182,female,DK,viby sj.,syddanmark,61870,400,71
183,female,IR,اصفهان,سیستان و بلوچستان,74762,240,84
184,male,NZ,hastings,hawke's bay,20799,400,71
185,male,NZ,timaru,wellington,37900,0,102
186,female,US,knoxville,missouri,57757,0,102
187,female,GB,inverness,mid glamorgan,Y17 9UT,-2400,204
188,female,CA,selkirk,british columbia,42021,0,102
189,male,NZ,greymouth,taranaki,86452,-1200,175
190,male,FR,boulogne-billancourt,val-de-marne,67872,1133,31
191,male,DE,lippe,sachsen-anhalt,71657,-600,147
192,female,GB,bangor,county antrim,YP0H 6ZL,-560,144
193,female,FR,créteil,nièvre,25774,0,102
194,male,FR,lyon,corse-du-sud,81883,100,95
195,female,FI,ristijärvi,south karelia,90826,350,73
196,female,NL,delfzijl,zeeland,33319,600,61
197,male,CH,lussy-sur-morges,neuchâtel,3664,1066,34
